"","ID","feature_id","FirstID.x","Area_m2","East_Poly","North_Poly","Ring_Oval","Area_ha","Order","FID_1","FirstID.y","SecondID","ThirdID","FourthID","FifthID","SixithID","SeventhID","CU_n","East","North","Unit","Site","Subsite","Area_m2_Pts","Area_ha_Pts","Time","PreXM_taq","NewPoly","Pct_XM_Ceramics","CerAbund","Wrong.a","Notes.a","Func1","Func1_d","Func2","Func2_d","Arch1","Arch1_d","Arch2","Arch2_d","H2020_1","H2020_2","H2020_3","H2020_Wkshp","Ang_Func","Ang_Func_d","Ang_Pop_calc","Ang_Area_m2","Ang_HH1","Ang_perHHArea","Ang_Incl","AnnieNew","Small","SmallGroup","Flag_AptCompClass","ReclassAng","ReclassAng_notes","ReclassH2020","ReclassH2020_notes","ClassBy","XM_c","XM_f","XM_d","XM_group_c","XM_group_f","XM_group_d","XM_macro_c","XM_macro_f","XM_macro_d","XM_DwellingUnits","XM_Pop","Unoccu","Flag","Flag_notes","Flag_code","AnnieRev","AnnieRev_Notes","Ring_Circle","StatusDiff","Workshop","Include","DELETE","DELETE_notes","OffMap","NoColUnit","Notes","XM_OB_bi","XM_Low_bi","XM_IM_bi","XM_UncertStat_bi","XM_High_bi","XM_PlatOther_bi","XM_Altar_bi","XM_PlatformRelig_bi","XM_Religious_bi","XM_ProbTemple_bi","XM_Civic_bi","XM_AoD_bi","XM_Plaza_bi","XM_Other_bi","XM_Unk_bi","XM_Unoccu_bi","XM_grp_OB_bi","XM_grp_Low_bi","XM_grp_IM_bi","XM_grp_UncertStat_bi","XM_grp_High_bi","XM_grp_DomPlat_bi","XM_grp_CCFeat_bi","XM_grp_AoD_bi","XM_grp_Plaza_bi","XM_grp_Other_bi","XM_grp_Unk_bi","XM_grp_Unoccu_bi","XM_macro_OB_bi","XM_macro_DStr_bi","XM_macro_DomPlat_bi","XM_macro_CCFeatO_bi","XM_macro_Unk_bi","XM_macro_Unoccu_bi","XM_Pop_Low","XM_Area_Low","XM_Pop_IM","XM_Area_IM","XM_Pop_High","XM_Area_High","XM_Pop_UncertStat","XM_Area_UncertStat","XM_Area_CCFeat","XM_Area_CCFeatO","XM_Area_DStr","XM_Area_OB","XM_Area_Unoccu","XM_Area_DomPlat","XM_Area_Unk","DistLine","InvDistLine","AreaPerPerson","Wealth_Pop","Wealth_Area","PropVal_DStr_InvDist","PropVal_HH_InvDist","PropVal_DStr_InvDistClass","PropVal_HH_InvDistClass"
"1",2611,"2611","2277",1866.464,515833.7724,2176575.243,2,0.1866464,3555,2611,2277,NA,NA,NA,NA,NA,NA,1,515833.7724,2176575.243,"N1W1","15","Q",1866.464,0.1866464,"",0,0,0,5,"","",4,"high status residence",17,"""civic"" structure, but not a temple",4,"apartment compound",77,"no plausible alternative to the primary interpretation","Architecture","House","High Status Residential","",4,"high status residence",14.88843755,2116,2,1058,1,0,0,"",0,0,"",NA,"","H2020",4,"High","high status residence",4,"High","High Status Residence",1,"DStr","Domestic Structure",1.35388365,10.01873901,NA,1,"","AnnieRev",1,"Polygon Revised Str CiuPlatform NW",3,0,0,1,0,NA,0,0,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.01873901,1866.464,0,0,0,0,1866.464,0,0,0,0,689.26446991582,0.00145082191763363,142.1237,1423.90025743554,265268.7695968,2.70790687967414,2.0001030957676,384.857744994744,284.262052351946
"2",2610,"2610","2276",1522.78,515848.5783,2176623.585,2,0.152278,3554,2610,2276,NA,NA,NA,NA,NA,NA,1,515848.5783,2176623.585,"N1W1","15","P",1522.78,0.152278,"",0,0,0.039473684,5,"","",4,"high status residence",17,"""civic"" structure, but not a temple",4,"apartment compound",77,"no plausible alternative to the primary interpretation","Architecture","House","High Status Residential","",4,"high status residence",12.15138546,1727,1,1727,1,0,0,"",0,0,"",NA,"","H2020",4,"High","high status residence",4,"High","High Status Residence",1,"DStr","Domestic Structure",1.104584361,8.173924271,NA,1,"","AnnieRev",1,"Polygon Revised Str CiuPlatform NW",3,0,0,1,0,NA,0,0,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.173924271,1522.78,0,0,0,0,1522.78,0,0,0,0,638.815146557391,0.00156539807390143,142.1237,1161.70836091432,216423.127886,2.38375687897562,2.15805778457479,338.788347540467,306.711157157572
"3",2612,"2612","2278",1836.469,515820.4604,2176524.35,2,0.1836469,3556,2612,2278,NA,NA,NA,NA,NA,NA,1,515820.4604,2176524.35,"N1W1","15","R",1836.469,0.1836469,"",0,0,0.03,5,"","",4,"high status residence",17,"""civic"" structure, but not a temple",4,"apartment compound",77,"no plausible alternative to the primary interpretation","Architecture","House","High Status Residential","",4,"high status residence",14.64920934,2082,2,1041,1,0,0,"",0,0,"",NA,"","H2020",4,"High","high status residence",4,"High","High Status Residence",1,"DStr","Domestic Structure",1.33212607,9.857732917,NA,1,"","AnnieRev",1,"Polygon Revised Str CiuPlatform NW",3,0,0,1,0,NA,0,0,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.857732917,1836.469,0,0,0,0,1836.469,0,0,0,0,741.603439087875,0.00134842956126247,142.1237,1401.01747577583,261005.7692153,2.47634908794212,1.85894499305319,351.94789486996,264.200140509193
"4",2387,"2387","2254",1465.227,515518.4317,2176547.65,2,0.1465227,3067,2387,2254,NA,NA,NA,NA,NA,NA,1,515518.4317,2176547.65,"N1W1","11","NONE",1465.227,0.1465227,"",0,0,0.118421053,6,"","",2,"intermediate status residence",17,"""civic"" structure, but not a temple",4,"apartment compound",77,"no plausible alternative to the primary interpretation","Architecture","House","Intermediate Status Residential","",2,"intermediate status residence",37.90132593,1661,5,332,1,0,0,"",0,0,"",NA,"","H2020",2,"IM","intermediate status residence",2,"IM","Intermediate Status Residence",1,"DStr","Domestic Structure",4.518122109,43.82578446,NA,1,"","AnnieRev",1,"Polygon Revised Str Ciu  Platform NW",3,0,0,1,0,NA,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43.82578446,1465.227,0,0,0,0,0,0,1465.227,0,0,0,0,874.153722959751,0.00114396355438967,43.82432,1920.63520242607,64212.57692064,1.67616628690771,0.370987380701559,73.4568477306555,16.2582696878269
"5",2388,"2388","2266",3058.336,515558.5635,2176635.511,2,0.3058336,3068,2388,2266,NA,NA,NA,NA,NA,NA,1,515558.5635,2176635.511,"N1W1","15","A",3058.336,0.3058336,"",0,0,0.047619048,-1,"","",2,"intermediate status residence",77,"no plausible alternative to the pirmary interpretation",4,"apartment compound",77,"no plausible alternative to the primary interpretation","Architecture","House","Intermediate Status Residential","",2,"intermediate status residence",79.13413506,3468,11,315,1,0,0,"",0,0,"",NA,"","H2020",2,"IM","intermediate status residence",2,"IM","Intermediate Status Residence",1,"DStr","Domestic Structure",9.430576627,91.47659328,NA,1,"","AnnieRev",1,"Polygon Revised Str Ciu  Platform NW",3,0,0,1,0,NA,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,91.47659328,3058.336,0,0,0,0,0,0,3058.336,0,0,0,0,781.32587321807,0.00127987570139111,43.82432,4008.89949641257,134029.49553152,3.91428993308969,0.415063689942666,171.541094600501,18.1898839684282
"6",2389,"2389","2252",4170.748,515485.7064,2176398.92,3,0.4170748,3069,2389,2252,NA,NA,NA,NA,NA,NA,1,515485.7064,2176398.92,"N1W1","7","9",4170.748,0.4170748,"",0,0,0.027508091,7,"","",2,"intermediate status residence",17,"""civic"" structure, but not a temple",4,"apartment compound",77,"no plausible alternative to the primary interpretation","Architecture","House","Intermediate Status Residential","",2,"intermediate status residence",107.9081098,4729,15,315,1,0,0,"",0,0,"",NA,"","H2020",2,"IM","intermediate status residence",2,"IM","Intermediate Status Residence",1,"DStr","Domestic Structure",12.86077089,124.7494776,NA,1,"","AnnieRev",1,"Polygon Revised Str Ciu  Platform SW",3,0,0,1,0,NA,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,124.7494776,4170.748,0,0,0,0,0,0,4170.748,0,0,0,0,1011.9049135529,0.000988235146016733,43.82432,5467.06102617523,182780.19499136,4.121679758779,0.320484657881888,180.629812686254,14.0450222021064
"7",2593,"2593","2256",10221.602,515707.398,2176216.616,3,1.0221602,3267,2593,2256,NA,NA,NA,NA,NA,NA,1,515707.398,2176216.616,"N1W1","13","A",10221.602,1.0221602,"",0,0,0,1,"","",2,"intermediate status residence",-1,"primary interpretation is the best assessment of a very ambiguous situation",4,"apartment compound",-1,"primary interpretation is the best assessment of a very ambiguous situation","Architecture","House","Intermediate Status Residential","",2,"intermediate status residence",264.4421832,11589,36,322,1,0,0,"",0,0,"",NA,"","H2020",2,"IM","intermediate status residence",2,"IM","Intermediate Status Residence",1,"DStr","Domestic Structure",31.51897009,305.7340099,NA,1,"","AnnieRev",1,"Polygon Revised Str Ciu  Platform SW",3,0,0,1,0,NA,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,305.7340099,10221.602,0,0,0,0,0,0,10221.602,0,0,0,0,1069.44996681957,0.000935060106620876,43.82432,13398.5850847408,447954.75696064,9.55781225595616,0.303239992571602,418.864622804945,13.2892864712555
"8",2399,"2399","2258",1130.268,515686.2761,2176144.999,3,0.1130268,3079,2399,2258,NA,NA,NA,NA,NA,NA,1,515686.2761,2176144.999,"N1W1","13","C",1130.268,0.1130268,"",0,0,0.060240964,3,"","",2,"intermediate status residence",-1,"primary interpretation is the best assessment of a very ambiguous situation",4,"apartment compound",-1,"primary interpretation is the best assessment of a very ambiguous situation","Architecture","House","Intermediate Status Residential","",2,"intermediate status residence",29.25316065,1282,4,320,1,0,0,"",0,0,"",NA,"","H2020",2,"IM","intermediate status residence",2,"IM","Intermediate Status Residence",1,"DStr","Domestic Structure",3.485254394,33.80696762,NA,1,"","AnnieRev",1,"Polygon Revised Str Ciu  Platform SW",4,0,0,1,0,NA,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.80696762,1130.268,0,0,0,0,0,0,1130.268,0,0,0,0,1143.96535181554,0.000874152349468404,43.82432,1481.56736720852,49533.22651776,0.988026427728954,0.283487606939074,43.2995863372505,12.4236516025322
"9",2594,"2594","2259",1517.57,515641.7305,2176217.416,3,0.151757,3268,2594,2259,NA,NA,NA,NA,NA,NA,1,515641.7305,2176217.416,"N1W1","13","D",1517.57,0.151757,"",0,0,0.038461538,6,"","",2,"intermediate status residence",-1,"primary interpretation is the best assessment of a very ambiguous situation",4,"apartment compound",-1,"primary interpretation is the best assessment of a very ambiguous situation","Architecture","House","Intermediate Status Residential","",2,"intermediate status residence",39.27042862,1721,5,344,1,0,0,"",0,0,"",NA,"","H2020",2,"IM","intermediate status residence",2,"IM","Intermediate Status Residence",1,"DStr","Domestic Structure",4.679525131,45.39139377,NA,1,"","AnnieRev",1,"Polygon Revised Str Ciu  Platform SW",3,0,0,1,0,NA,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45.39139377,1517.57,0,0,0,0,0,0,1517.57,0,0,0,0,1093.13415313785,0.000914800802014546,43.82432,1989.24696582249,66506.4733024,1.38827425311322,0.296669900096582,60.8401751161945,13.0013566362006
"10",2390,"2390","2260",2387.75,515622.1748,2176290.218,3,0.238775,3070,2390,2260,NA,NA,NA,NA,NA,NA,1,515622.1748,2176290.218,"N1W1","13","E",2387.75,0.238775,"",0,0,0.008032129,7,"","",2,"intermediate status residence",-1,"primary interpretation is the best assessment of a very ambiguous situation",4,"apartment compound",-1,"primary interpretation is the best assessment of a very ambiguous situation","Architecture","House","Intermediate Status Residential","",2,"intermediate status residence",61.76934937,2707,8,338,1,0,0,"",0,0,"",NA,"","H2020",2,"IM","intermediate status residence",2,"IM","Intermediate Status Residence",1,"DStr","Domestic Structure",7.362781375,71.41897934,NA,1,"","AnnieRev",1,"Polygon Revised Str Ciu  Platform SW",3,0,0,1,0,NA,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71.41897934,2387.75,0,0,0,0,0,0,2387.75,0,0,0,0,1035.19280565575,0.000966003622259082,43.82432,3129.88820466955,104641.52008,2.30657514904912,0.3132749747101,101.084087435976,13.7290627396874
