"","Order","ID","FID_1","FirstID","SecondID","ThirdID","FourthID","FifthID","SixithID","SeventhID","CU_n","East","North","Unit","Site","Subsite","Area_m2","Area_ha","Time","PreXM_taq","NewPoly","Pct_XM_Ceramics","CerAbund","Wrong.a","Notes.a","Func1","Func1_d","Func2","Func2_d","Arch1","Arch1_d","Arch2","Arch2_d","H2020_1","H2020_2","H2020_3","H2020_Wkshp","Ang_Func","Ang_Func_d","Ang_Pop_calc","Ang_Area_m2","Ang_HH1","Ang_perHHArea","Ang_Incl","AnnieNew","Small","SmallGroup","Flag_AptCompClass","ReclassAng","ReclassAng_notes","ReclassH2020","ReclassH2020_notes","ClassBy","XM_c","XM_f","XM_d","XM_group_c","XM_group_f","XM_group_d","XM_macro_c","XM_macro_f","XM_macro_d","XM_DwellingUnits","XM_Pop","Unoccu","Flag","Flag_notes","Flag_code","AnnieRev","AnnieRev_Notes","Ring","StatusDiff","Workshop","Include","DELETE","DELETE_notes","OffMap","NoColUnit","Notes","XM_PersonsPerDwellingUnit"
"1",286,3668,3668,1809,NA,NA,NA,NA,NA,NA,1,516004.1024,2178385.496,"N5W1","10","NONE",686.579,0.0686579,"",0,0,0.013245033,5,"","",-1,"missing data",-1,"primary interpretation is the best assessment of a very ambiguous situation",20,"probably not occupied or utilized in this period",-1,"primary interpretation is the best assessment of a very ambiguous situation","Open Space","Open Public Space","PlazaN","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",1,"intersects same CU","Rudy",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",2,0,0,1,0,NA,0,0,"",0
"2",1,884,884,1237,NA,NA,NA,NA,NA,NA,1,516035.8818,2179515.773,"N7W2","35","NONE",1043.818,0.1043818,"",0,0,0.034782609,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",2,"intermediate status residence",27.01695961,1184,4,296,1,0,NA,"",0,1,"Millon says unoccupied",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,1,"","Reclass",NA,"",5,0,0,1,0,NA,0,0,"",0
"3",2,889,889,1732,NA,NA,NA,NA,NA,NA,1,516610.3828,2179455.098,"N7W1","6","NONE",1705.856,0.1705856,"",0,0,0.071570577,7,"","",41,"unoccupied, not clear if cultivated or not",-1,"primary interpretation is the best assessment of a very ambiguous situation",20,"probably not occupied or utilized in this period",-1,"primary interpretation is the best assessment of a very ambiguous situation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",2,"intermediate status residence",44.15356152,1935,6,322,1,0,NA,"",0,1,"Millon says unoccupied",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,1,"","Reclass",NA,"",5,0,0,1,0,NA,0,0,"",0
"4",3,913,913,2345,NA,NA,NA,NA,NA,NA,1,516440.4672,2178325.344,"N5E1","10","NONE",1039.975,0.1039975,"",0,0,0,1,"","",41,"unoccupied, not clear if cultivated or not",-1,"primary interpretation is the best assessment of a very ambiguous situation",20,"probably not occupied or utilized in this period",-1,"primary interpretation is the best assessment of a very ambiguous situation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",2,"intermediate status residence",26.90286772,1179,4,295,1,0,NA,"",0,1,"Millon says unoccupied",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,1,"","Reclass",NA,"",2,0,0,1,0,NA,0,0,"",0
"5",4,1150,1150,3464,NA,NA,NA,NA,NA,NA,1,517341.2399,2177169.842,"N3E3","35","NONE",2134.486,0.2134486,"",0,0,0.098039216,3,"","",-1,"missing data",-1,"primary interpretation is the best assessment of a very ambiguous situation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Probably Not Occupied or Utilized in this Period","",2,"intermediate status residence",55.22047487,2420,7,346,1,0,NA,"",0,1,"Millon says unoccupied",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,1,"","Reclass",NA,"",3,0,0,1,0,NA,0,0,"",0
"6",5,1384,1384,3874,NA,NA,NA,NA,NA,NA,1,519540.6754,2175722.19,"N2E8","1","NONE",2849.653,0.2849653,"",0,0,0.162436548,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",2,"intermediate status residence",73.72617946,3231,10,323,1,0,NA,"",0,1,"Millon says unoccupied",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,1,"","Reclass",NA,"",9,0,0,1,0,NA,0,0,"",0
"7",6,3040,3040,594,NA,NA,NA,NA,NA,NA,1,514300.694,2177767.881,"N3W4","15","NONE",161.194,0.0161194,"Micca",1,0,0.04,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",4,0,0,1,0,NA,0,0,"",0
"8",7,3041,3041,593,NA,NA,NA,NA,NA,NA,1,514403.7176,2177809.058,"N3W4","13","&14",224.521,0.0224521,"Micca",1,0,0,4,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",4,0,0,1,0,NA,0,0,"",0
"9",8,3042,3042,593,NA,NA,NA,NA,NA,NA,1,514468.6353,2177783.552,"N3W4","13","&14",176.074,0.0176074,"Micca",1,0,0,4,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",4,0,0,1,0,NA,0,0,"",0
"10",9,3046,3046,584,NA,NA,NA,NA,NA,NA,1,514578.6022,2177554.329,"N3W4","4","NONE",103.762,0.0103762,"Tza",1,0,0,3,"","",41,"unoccupied, not clear if cultivated or not",77,"no plausible alternative to the pirmary interpretation",20,"probably not occupied or utilized in this period",77,"no plausible alternative to the primary interpretation","Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","",NA,NA,NA,NA,NA,NA,0,1,NA,"",0,NA,"",NA,"","H2020",-2,"Unoccu","unoccupied",12,"Unoccu","Unoccupied",5,"Unoccu","Unoccupied",0,0,1,0,"","",NA,"",4,0,0,1,0,NA,0,0,"",0
